Tue Sep 28 16:43:55 2021    devicecuda:0_parallelFalse.profile

         2201446 function calls (2065854 primitive calls) in 39.659 seconds

   Ordered by: cumulative time
   List reduced from 737 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      245    0.001    0.000    0.001    0.000 models.py:497(<listcomp>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:425(_get_format_function)
      108    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
      980    0.000    0.000    0.001    0.000 serialization.py:716(_maybe_decode_ascii)
        1    0.000    0.000    0.001    0.001 MB_DPPO.py:53(reduce_sum)
      186    0.001    0.000    0.001    0.000 utils.py:23(<genexpr>)
       45    0.000    0.000    0.001    0.000 getlimits.py:365(__new__)
      308    0.000    0.000    0.001    0.000 traci.py:595(get_length)
        1    0.000    0.000    0.001    0.001 serialization.py:595(legacy_load)
        1    0.000    0.000    0.001    0.001 arrayprint.py:381(<lambda>)
        2    0.001    0.000    0.001    0.000 {built-in method min}
        1    0.000    0.000    0.001    0.001 arrayprint.py:856(__init__)
     3876    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.001    0.001 tarfile.py:1524(open)
        1    0.000    0.000    0.001    0.001 synchronize.py:11(<module>)
        1    0.000    0.000    0.001    0.001 synchronize.py:186(__init__)
      105    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
       55    0.001    0.000    0.001    0.000 {built-in method now}
      278    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 tarfile.py:1615(taropen)
        1    0.000    0.000    0.001    0.001 synchronize.py:50(__init__)
       60    0.000    0.000    0.001    0.000 std.py:155(__init__)
       11    0.000    0.000    0.001    0.000 traci.py:728(<listcomp>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:883(fillFormat)
        9    0.000    0.000    0.000    0.000 accel.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 tarfile.py:1413(__init__)
      897    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      245    0.000    0.000    0.000    0.000 container.py:167(__iter__)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.000    0.000 std.py:586(_decr_instances)
       54    0.000    0.000    0.000    0.000 random.py:681(getrandbits)
      110    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
      100    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
      514    0.000    0.000    0.000    0.000 storage.py:33(__init__)
      177    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
       72    0.000    0.000    0.000    0.000 std.py:104(acquire)
       28    0.000    0.000    0.000    0.000 rlcontroller.py:34(__init__)
      124    0.000    0.000    0.000    0.000 grad_mode.py:37(__enter__)
      363    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       76    0.000    0.000    0.000    0.000 accel.py:150(sorted_ids)
        1    0.000    0.000    0.000    0.000 tarfile.py:2268(next)
      124    0.000    0.000    0.000    0.000 grad_mode.py:137(__init__)
        4    0.000    0.000    0.000    0.000 std.py:579(_get_free_pos)
        4    0.000    0.000    0.000    0.000 utils.py:282(_screen_shape_linux)
      126    0.000    0.000    0.000    0.000 traci.py:587(get_route)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
      177    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      180    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      630    0.000    0.000    0.000    0.000 {built-in method time.time}
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      140    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
       87    0.000    0.000    0.000    0.000 distribution.py:24(__init__)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(stack)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copy)
       54    0.000    0.000    0.000    0.000 seeding.py:80(_int_list_from_bigint)
        4    0.000    0.000    0.000    0.000 std.py:582(<setcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
      197    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
      248    0.000    0.000    0.000    0.000 __init__.py:116(is_tensor)
        4    0.000    0.000    0.000    0.000 utils.py:162(__init__)
      227    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        4    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
       28    0.000    0.000    0.000    0.000 base_controller.py:47(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       59    0.000    0.000    0.000    0.000 distribution.py:209(_extended_shape)
       11    0.000    0.000    0.000    0.000 _simulation.py:644(getSubscriptionResults)
      264    0.000    0.000    0.000    0.000 traci.py:314(next_edge)
        1    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
      125    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      264    0.000    0.000    0.000    0.000 traci.py:321(prev_edge)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        5    0.000    0.000    0.000    0.000 _methods.py:134(_mean)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      799    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      532    0.000    0.000    0.000    0.000 traci.py:278(length)
     1584    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      165    0.000    0.000    0.000    0.000 domain.py:87(get)
      275    0.000    0.000    0.000    0.000 _reduction.py:6(get_enum)
     1272    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      490    0.000    0.000    0.000    0.000 serialization.py:100(_cpu_deserialize)
      286    0.000    0.000    0.000    0.000 traci.py:294(num_lanes)
       18    0.000    0.000    0.000    0.000 _methods.py:78(_clip_dep_invoke_with_casting)
       12    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
      264    0.000    0.000    0.000    0.000 traci.py:270(edge_length)
      248    0.000    0.000    0.000    0.000 {built-in method torch._C.is_grad_enabled}
      647    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 serialization.py:210(_open_file_like)
        2    0.000    0.000    0.000    0.000 shape_base.py:357(stack)
       28    0.000    0.000    0.000    0.000 base_routing_controller.py:30(__init__)
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:791(checkConverged)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:106(remove)
       54    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
       16    0.000    0.000    0.000    0.000 std.py:112(__enter__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:729(_formatArray)
       12    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        8    0.000    0.000    0.000    0.000 std.py:1290(fp_write)
      110    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 pydev_monkey.py:1110(pydev_start_new_thread)
        1    0.000    0.000    0.000    0.000 tarfile.py:1089(fromtarfile)
      108    0.000    0.000    0.000    0.000 utils.py:319(_term_move_up)
      406    0.000    0.000    0.000    0.000 traci.py:302(max_speed)
      108    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      154    0.000    0.000    0.000    0.000 traci.py:654(set_lane_headways)
        4    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
      280    0.000    0.000    0.000    0.000 traci.py:460(get_ids)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(mean)
        1    0.000    0.000    0.000    0.000 threading.py:758(__init__)
       72    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      2/1    0.000    0.000    0.000    0.000 arrayprint.py:738(recurser)
       54    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      154    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
      220    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 serialization.py:192(__init__)
      154    0.000    0.000    0.000    0.000 traci.py:678(set_lane_leaders)
      154    0.000    0.000    0.000    0.000 traci.py:702(set_lane_followers)
        2    0.000    0.000    0.000    0.000 {built-in method mean}
        1    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        1    0.000    0.000    0.000    0.000 tarfile.py:1026(frombuf)
      154    0.000    0.000    0.000    0.000 traci.py:690(set_lane_tailways)
        1    0.000    0.000    0.000    0.000 {built-in method zeros}
       61    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       60    0.000    0.000    0.000    0.000 utils.py:57(__init__)
      6/1    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      248    0.000    0.000    0.000    0.000 {built-in method torch._C.set_grad_enabled}
        1    0.000    0.000    0.000    0.000 tempfile.py:156(<listcomp>)
      6/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 utils.py:215(_supports_unicode)
       11    0.000    0.000    0.000    0.000 function_base.py:730(copy)
      154    0.000    0.000    0.000    0.000 traci.py:452(get_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 serialization.py:47(_is_zipfile)
        4    0.000    0.000    0.000    0.000 utils.py:298(flush)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      177    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      165    0.000    0.000    0.000    0.000 connection.py:250(_getSubscriptionResults)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 arrayprint.py:938(<genexpr>)
       36    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
        1    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
        9    0.000    0.000    0.000    0.000 traci.py:1007(choose_routes)
       36    0.000    0.000    0.000    0.000 _methods.py:73(_clip_dep_is_byte_swapped)
        4    0.000    0.000    0.000    0.000 std.py:330(status_printer)
       34    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        4    0.000    0.000    0.000    0.000 utils.py:74(__eq__)
      138    0.000    0.000    0.000    0.000 fromnumeric.py:2838(_prod_dispatcher)
       60    0.000    0.000    0.000    0.000 utils.py:61(__format__)
        8    0.000    0.000    0.000    0.000 random.py:256(choice)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       60    0.000    0.000    0.000    0.000 std.py:169(colour)
        3    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      153    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       57    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       73    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 util.py:136(register_after_fork)
       14    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      154    0.000    0.000    0.000    0.000 traci.py:752(<lambda>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3231(mean)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       22    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.000    0.000 tarfile.py:172(nti)
       66    0.000    0.000    0.000    0.000 traci.py:743(<listcomp>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:69(_make_options_dict)
        4    0.000    0.000    0.000    0.000 utils.py:105(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       73    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      137    0.000    0.000    0.000    0.000 traci.py:476(get_rl_ids)
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:181(storeTrajs)
       11    0.000    0.000    0.000    0.000 traci.py:51(update)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 serialization.py:261(_should_read_directly)
        2    0.000    0.000    0.000    0.000 arrayprint.py:933(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       72    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
        2    0.000    0.000    0.000    0.000 shape_base.py:348(_stack_dispatcher)
       28    0.000    0.000    0.000    0.000 base_lane_changing_controller.py:33(__init__)
       34    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        1    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:530(<listcomp>)
        2    0.000    0.000    0.000    0.000 threading.py:499(__init__)
       11    0.000    0.000    0.000    0.000 connection.py:327(_manageStepListeners)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:638(<listcomp>)
       74    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
      108    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
        8    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
        8    0.000    0.000    0.000    0.000 utils.py:136(disable_on_exception)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       60    0.000    0.000    0.000    0.000 std.py:165(colour)
       11    0.000    0.000    0.000    0.000 base.py:710(render)
        4    0.000    0.000    0.000    0.000 utils.py:201(_is_utf)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2551(amax)
        5    0.000    0.000    0.000    0.000 _methods.py:50(_count_reduce_items)
        1    0.000    0.000    0.000    0.000 threading.py:1120(daemon)
       28    0.000    0.000    0.000    0.000 traci.py:1110(<listcomp>)
        7    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.dump}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       24    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 traci.py:94(update)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f72b9ea08c8}
        4    0.000    0.000    0.000    0.000 std.py:1151(__del__)
        9    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:967(__call__)
        2    0.000    0.000    0.000    0.000 shape_base.py:420(<listcomp>)
        1    0.000    0.000    0.000    0.000 _methods.py:36(_sum)
       28    0.000    0.000    0.000    0.000 traci.py:1112(<listcomp>)
        1    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.000    0.000 serialization.py:195(__exit__)
       12    0.000    0.000    0.000    0.000 utils.py:101(wrapper_setattr)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 _monitor.py:93(report)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2676(amin)
       36    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
        2    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       54    0.000    0.000    0.000    0.000 contextlib.py:58(_recreate_cm)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 std.py:229(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        6    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.000    0.000 traci.py:306(get_edge_list)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        8    0.000    0.000    0.000    0.000 utils.py:171(__eq__)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        8    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        2    0.000    0.000    0.000    0.000 MB_DPPO.py:116(__init__)
       34    0.000    0.000    0.000    0.000 multiarray.py:707(dot)
        1    0.000    0.000    0.000    0.000 arrayprint.py:372(_get_formatdict)
        5    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       66    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
        8    0.000    0.000    0.000    0.000 std.py:1157(_comparable)
        8    0.000    0.000    0.000    0.000 std.py:1161(__hash__)
        8    0.000    0.000    0.000    0.000 utils.py:88(__getattr__)
       25    0.000    0.000    0.000    0.000 {method 'ndimension' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 utils.py:413(save)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
       18    0.000    0.000    0.000    0.000 fromnumeric.py:2017(_clip_dispatcher)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:362(<listcomp>)
        9    0.000    0.000    0.000    0.000 traci.py:468(get_controlled_ids)
        4    0.000    0.000    0.000    0.000 utils.py:385(flush)
       36    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       15    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5611c12e13c0}
        1    0.000    0.000    0.000    0.000 serialization.py:253(_is_compressed_file)
       11    0.000    0.000    0.000    0.000 function_base.py:726(_copy_dispatcher)
       34    0.000    0.000    0.000    0.000 linalg.py:2312(_norm_dispatcher)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:166(__init__)
        1    0.000    0.000    0.000    0.000 MB_DPPO.py:172(storeTraj)
       22    0.000    0.000    0.000    0.000 traci.py:310(get_junction_list)
        9    0.000    0.000    0.000    0.000 traci.py:464(get_human_ids)
        1    0.000    0.000    0.000    0.000 tarfile.py:164(nts)
        3    0.000    0.000    0.000    0.000 std.py:608(<lambda>)
        4    0.000    0.000    0.000    0.000 utils.py:231(_screen_shape_wrapper)
        1    0.000    0.000    0.000    0.000 context.py:232(get_context)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 serialization.py:277(_check_seekable)
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 pydev_monkey.py:1020(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
        5    0.000    0.000    0.000    0.000 threading.py:507(is_set)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        4    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        1    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        9    0.000    0.000    0.000    0.000 traci.py:472(get_controlled_lc_ids)
        1    0.000    0.000    0.000    0.000 serialization.py:181(__init__)
        1    0.000    0.000    0.000    0.000 process.py:36(current_process)
        2    0.000    0.000    0.000    0.000 shape_base.py:424(<setcomp>)
        2    0.000    0.000    0.000    0.000 shape_base.py:432(<listcomp>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:715(_extendLine)
       15    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        7    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       10    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000
